Hash,author,KC-Tags,MF-Tags,AM-Tags
a3336160203dd8f8d2ae567238fcb0978bf21e8d,Leandro Dorileo,[('New' | 'Select')],no-tag-changed,change
da5f77ff470f49e90797db27a8923c988c099e96,Bruno Dilly,[('Modify' | 'Default') | ('Modify' | 'Feature') | ('Modify' | 'Select')],no-tag-changed,change
9110b309393ec27dee35baf23d1cbefe1a796d8f,Bruno Dilly,[('Added' | 'Depends') | ('Modify' | 'Depends')],no-tag-changed,[('Added' | 'Depends')]
2d39b630bf887702b53471ded8b2271f37ac94a1,Ulisses Furquim,[('Added' | 'Depends') | ('Modify' | 'Default')],no-tag-changed,change
0f5c625000541d6cbaa0ce2f030a83d02f816f87,Leandro Dorileo,[('Remove' | 'Feature') | ('Remove' | 'Default')],no-tag-changed,change
00b4e6a14a405ea18ec2cc9382d86226fb1cd557,Murilo Belluzzo,[('Remove' | 'Feature')],no-tag-changed,change
f10452a4470ef17398d9ddbe166d7fa9c43a6e56,Murilo Belluzzo,[('New' | 'Depends')],no-tag-changed,change
b73f5a6a2425d3c88a99e7d7026a7c4303b56a56,Murilo Belluzzo,[('New' | 'Depends')],no-tag-changed,change
d74314d1747fd56398b03140030e52fc7806d215,Murilo Belluzzo,[('Remove' | 'Feature') | ('Remove' | 'Default') | ('Added' | 'Feature') | ('New' | 'Depends') | ('New' | 'Default')],no-tag-changed,change
229f9730f09043c5e23c8bb2fb2fcd1153a1a4c6,Murilo Belluzzo,no-tag-changed,no-tag-changed,change
75d22cbac231fea8ff88fed445a8e221f1c3aa78,Gustavo Sverzut Barbieri,[('Added' | 'Depends')],no-tag-changed,[('Added' | 'Depends')]
769c8e5dc82bcd1a6f638eac51821a9c791363ad,Flavio Ceolin,[('Modify' | 'Depends')],no-tag-changed,change
f0258d0e629c440d7f01c44f91ad2180270a5044,Flavio Ceolin,[('New' | 'Depends') | ('Added' | 'Depends')],no-tag-changed,change
ff7e27b3dc8c9514d433dc5d7ae76944bf835ab8,Flavio Ceolin,[('Added' | 'Depends')],no-tag-changed,[('Added' | 'Depends')]
36382cc2ce1907288a68ad1d7340296edc166e88,Murilo Belluzzo,[('Added' | 'Depends')],no-tag-changed,change
1778ffffd8ae251b57212517dddb78f6f69e6e45,Bruno Dilly,[('Added' | 'Depends')],no-tag-changed,change
4d2a86f739fa1758b45a517c4bd442305c128f1f,Iván Briano,[('Added' | 'Depends') | ('Modify' | 'Depends') | ('Remove' | 'Depends')],no-tag-changed,[('Added' | 'Depends') | ('Remove' | 'Depends') | ('Modify' | 'Depends')]
c823fdfa5ab5e7255d61f3f85d5a00751c209985,José Roberto de Souza,no-tag-changed,no-tag-changed,change
7e4802a35d49bd1911efe26b69135b17cde290e2,José Roberto de Souza,[('New' | 'Depends')],no-tag-changed,[('New' | 'Depends')]
8f949c34a5a0a977919d0546446ed90fb17d3740,José Roberto de Souza,[('New' | 'Depends')],no-tag-changed,change
f4daeaa678a4090c36fdf0d56f53a73e630ed58c,José Roberto de Souza,[('Added' | 'Depends')],no-tag-changed,change
eb916cca32ff51cd1cb62d26c2a83807d105e9f0,José Roberto de Souza,[('Added' | 'Depends')],no-tag-changed,change
e185b20c1702a332ae11ee3a6090ec908f18bd48,Iván Briano,no-tag-changed,no-tag-changed,change
ab06c0ce3c8b0ac5345d0eec27ea6c61eb06e69c,Caio Marcelo de Oliveira Filho,[('New' | 'Depends')],no-tag-changed,change
f3f390c41d89ac921f23bd93e12268711196fe83,Gustavo Sverzut Barbieri,[('Added' | 'Depends')],no-tag-changed,change
26a08d60ab5a9ad84dc1a28ec74500a8046ebadd,Gustavo Lima Chaves,no-tag-changed,no-tag-changed,change
a183360dd4d2954d78adc1b0e0b4855eb59fc5c3,Flavio Ceolin,[('Modify' | 'Default')],no-tag-changed,[('Modify' | 'Default')]
b889b7a970ab2157432403246274ea5b45836910,Bruno Dilly,[('Added' | 'Depends')],no-tag-changed,change
7299e3456e4423d667aa0fd2f089293810a35a52,Gustavo Sverzut Barbieri,[('Modify' | 'Feature') | ('Modify' | 'Depends') | ('Modify' | 'Default')],no-tag-changed,change
23c3a2dd67236054722842289e1704633fdc29f5,Iván Briano,[('Added' | 'Default')],no-tag-changed,change
13aa56c3c5a1752b6ea60fdc1a0a1effe7d65175,Leandro Dorileo,[('New' | 'Depends')],no-tag-changed,change
4bb39584ca389f03e9191e65fa291c303b224360,Leandro Dorileo,[('New' | 'Depends')],no-tag-changed,change
fb5d1ffa0fe4b33f70688911aab8bfa9d5a15896,Otavio Pontes,[('Modify' | 'Depends')],no-tag-changed,[('Modify' | 'Depends')]
0709be9f3b6efa607bf72ae153e11adedd697c4a,Bruno Dilly,[('Added' | 'Default')],no-tag-changed,change
1570a568171447c303f255977ad15592d3fd5d8d,Bruno Dilly,[('Modify' | 'Default') | ('Modify' | 'Depends')],no-tag-changed,change
c52c778a0277e4703feb7e55de9ca5a3a23dadd5,Flavio Ceolin,[('Added' | 'Depends')],no-tag-changed,change
2cf672ae0cc53ee5b04829d6e44ca8c250c8f30d,Ederson de Souza,[('Modify' | 'Depends')],no-tag-changed,change
b4abd4fa77596ecde5946889a1fdd07138ced7b4,Flavio Ceolin,[('Modify' | 'Depends')],no-tag-changed,change
7c596a4bccd16c84e66422b6f81e7575bb3f866a,Otavio Pontes,[('Added' | 'Depends')],no-tag-changed,[('Added' | 'Depends')]
3c888d59414ea7ca03bcecdf130aa553d3d106ad,Bruno Dilly,[('New' | 'Depends')],no-tag-changed,change
22b5d3c155b27e57b1c4464ba31f046744127bc8,Ederson de Souza,no-tag-changed,no-tag-changed,change
d368dd74d3f206e9a321f3681752a3ff960fb8ee,Flavio Ceolin,[('Added' | 'Depends')],no-tag-changed,change
3afafeba9598790adcdc39fd888446c84d3600c0,Bruno Dilly,[('Added' | 'Default')],no-tag-changed,change
2a69a93807f548ea687cb38a072e6ec58974e7a7,Gustavo Sverzut Barbieri,[('Added' | 'Depends')],no-tag-changed,change
9029e1a6cb7313966ba1e42cdb65f800930f9ce8,Iván Briano,no-tag-changed,no-tag-changed,change
199fe960603aebe5c82d42e594cfc09049d8edb8,Gustavo Lima Chaves,[('Modify' | 'Depends')],no-tag-changed,change
e9be8920202360664d00304e4c92dbbd3f7b52f3,Gustavo Lima Chaves,[('New' | 'Select') | ('Modify' | 'Select')],no-tag-changed,change
fa7f6e4c8099e18ec7381605e392a6c8cdf24cf2,Iván Briano,[('Added' | 'Depends')],no-tag-changed,change
83cdfb5bb874861f4165107f364aa68035e188d9,Guilherme Iscaro de Godoy,[('New' | 'Depends') | ('Added' | 'Depends')],no-tag-changed,[('Added' | 'Depends') | ('New' | 'Depends')]
